open_time,open,high,low,close,volume
2023-10-26 10:00:00,0.1500,0.1501,0.1499,0.1500,100000
2023-10-26 10:01:00,0.1500,0.1502,0.1498,0.1501,120000
2023-10-26 10:02:00,0.1501,0.1503,0.1500,0.1502,110000
2023-10-26 10:03:00,0.1502,0.1505,0.1501,0.1504,150000
2023-10-26 10:04:00,0.1504,0.1510,0.1503,0.1509,250000
2023-10-26 10:05:00,0.1509,0.1520,0.1508,0.1515,500000
2023-10-26 10:06:00,0.1515,0.1518,0.1510,0.1512,300000
2023-10-26 10:07:00,0.1512,0.1513,0.1505,0.1506,200000
2023-10-26 10:08:00,0.1506,0.1508,0.1500,0.1501,180000
2023-10-26 10:09:00,0.1501,0.1502,0.1495,0.1496,220000
2023-10-26 10:10:00,0.1496,0.1500,0.1495,0.1499,170000
2023-10-26 10:11:00,0.1499,0.1503,0.1498,0.1502,130000
2023-10-26 10:12:00,0.1502,0.1504,0.1500,0.1503,100000
2023-10-26 10:13:00,0.1503,0.1510,0.1502,0.1508,350000
2023-10-26 10:14:00,0.1508,0.1530,0.1507,0.1525,800000
2023-10-26 10:15:00,0.1525,0.1528,0.1515,0.1518,600000
2023-10-26 10:16:00,0.1518,0.1520,0.1512,0.1515,400000
2023-10-26 10:17:00,0.1515,0.1516,0.1508,0.1509,300000
2023-10-26 10:18:00,0.1509,0.1510,0.1502,0.1504,250000
2023-10-26 10:19:00,0.1504,0.1505,0.1498,0.1499,280000
2023-10-26 10:20:00,0.1499,0.1503,0.1497,0.1501,190000
2023-10-26 10:21:00,0.1501,0.1505,0.1500,0.1503,150000
2023-10-26 10:22:00,0.1503,0.1506,0.1501,0.1505,120000
2023-10-26 10:23:00,0.1505,0.1512,0.1504,0.1510,400000
2023-10-26 10:24:00,0.1510,0.1540,0.1509,0.1538,1200000
2023-10-26 10:25:00,0.1538,0.1542,0.1530,0.1532,900000
2023-10-26 10:26:00,0.1532,0.1535,0.1525,0.1528,700000
2023-10-26 10:27:00,0.1528,0.1530,0.1522,0.1525,500000
2023-10-26 10:28:00,0.1525,0.1528,0.1520,0.1522,400000
2023-10-26 10:29:00,0.1522,0.1524,0.1518,0.1520,300000
